Diagnosis,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking
Total,CT,2724164,182806,597921,704959,542680,695798,1308864,1415300,422457,1851614,277011,96324,76758,155458,838428,708717,1021562,1563087,106660,379796,657328,17293,222880,908992,582695,571339,259054,85256,93948,970940,1753224,418713,2289733,15718,1605257,1103906,15001,142701,149292,218710,260241,233833,331569,200539,205955,981323,1671229,586198,419033,213668,172534,605879,73560,129697,56040,503623,25993,1498,2581,4277,2653862,50485,1354188,519320,28268,28278,794109,1642876,217670,15780,38412,809426,1276156,517124,116650,18009,796224,1490894,352632,76515,13391,790731
Yes,CT,390044,21661,77180,179579,70330,41295,187631,202413,71890,226219,63758,8021,20157,16602,125978,124645,122819,194007,9817,67593,115605,3022,14639,92362,97613,118066,30712,27071,9582,174039,216006,81474,308570,-,255801,134243,-,23356,20604,64949,19217,38715,25720,26925,19011,151546,203005,109264,74901,74050,47256,120301,16397,32415,11299,66074,-,-,-,-,383975,6070,188791,73751,2404,4859,120239,222756,33589,4270,9189,120239,142920,84147,37879,4859,120239,171073,63596,35135,-,120239
No,CT,2292609,161145,510871,514236,464444,641913,1092623,1199987,347536,1610437,200876,81617,52143,124856,701618,571164,894971,1359538,94740,300953,528993,8385,206342,803124,468497,450439,221656,58186,84366,782441,1510168,321653,1970666,290,1340383,943111,9115,118418,128688,153760,233981,195119,305849,173614,186944,796236,1460078,476006,344133,139618,120338,477804,57163,94448,44741,407945,25993,1498,2581,4277,2246837,25955,1157428,445569,25865,23419,640329,1417090,179141,11510,29223,655646,1130207,432977,73831,13150,642444,1316791,284096,41380,13391,636951
Not sure,CT,23050,-,6043,11144,3761,2102,13978,9073,-,9073,2834,6686,4457,4457,6686,9876,2030,-,2102,8219,12729,-,1103,5385,7042,2834,6686,-,-,14460,8590,12553,10497,-,9073,13978,-,927,-,-,7042,-,-,-,-,15081,8146,927,-,-,4940,7774,-,2834,-,11144,-,-,-,-,23050,-,7970,-,-,-,15081,3029,4940,-,-,15081,3029,-,4940,-,15081,3029,4940,-,-,15081
Did not report,CT,18460,-,3827,-,4145,10487,14632,3827,3032,5886,9542,-,-,9542,4145,3032,1741,9542,-,3032,-,5886,796,8122,9542,-,-,-,-,-,18460,3032,-,15428,-,12574,5886,-,-,-,-,-,-,-,-,18460,-,-,-,-,-,-,-,-,-,18460,-,-,-,-,-,18460,-,-,-,-,18460,-,-,-,-,18460,-,-,-,-,18460,-,-,-,-,18460
Total,DE,767878,41240,192727,199436,136894,197581,363516,404362,77466,498767,133987,33591,24068,50135,259038,220211,238494,474167,20387,93742,174429,5153,54103,252775,133350,161700,82452,45537,37962,297540,470338,118483,646831,2564,457406,306000,4473,58686,41307,54203,98163,68482,125731,46317,36677,238311,523282,129223,108990,41712,40855,181112,17032,27441,16775,118259,4818,83,1865,908,752687,9044,398694,149753,18496,909,200026,490791,60474,16483,882,199248,375727,156672,35418,-,200061,420854,102237,43983,1556,199248
Yes,DE,101058,4960,23722,29660,15473,27242,33527,67531,18247,64079,16573,2159,-,11376,24830,32823,32029,60925,4668,17060,18247,158,3132,41011,14048,18655,6654,10355,7203,43952,57106,25606,75451,-,59612,41279,167,13200,3797,3561,6696,7706,9919,8132,4670,43378,62869,15981,13740,5990,1412,22047,243,8403,3312,16478,1065,-,296,-,99993,-,54679,18447,-,-,27932,63734,9060,332,-,27932,49221,17083,6822,-,27932,48214,23184,1728,-,27932
No,DE,662091,36280,167655,168665,120517,168974,327735,334355,58630,432048,115913,31432,24068,38759,233412,185894,204026,413063,15719,75885,153922,3502,49307,210681,118115,142248,75798,35182,30759,252791,409300,90416,570605,1070,397479,261799,2812,45486,36160,50643,91467,59865,115634,38186,32007,192643,459324,112646,93586,35722,38093,157401,16789,19038,13463,99492,3753,83,1569,908,649458,7550,342487,130395,18496,909,169804,424796,51236,16151,882,169026,325910,138060,28282,-,169839,370380,78874,42255,1556,169026
Not sure,DE,3236,-,1350,1111,-,775,1350,1886,-,2639,596,-,-,-,797,-,2439,179,-,797,2260,-,1664,179,596,797,-,-,-,797,2439,2461,775,-,314,2922,-,-,1350,-,-,910,179,-,-,797,1089,596,1664,-,1350,1664,-,-,-,797,-,-,-,-,3236,-,1529,910,-,-,797,2260,179,-,-,797,596,1529,314,-,797,2260,179,-,-,797
Did not report,DE,1494,-,-,-,904,590,904,590,590,-,904,-,-,-,-,1494,-,-,-,-,-,1494,-,904,590,-,-,-,-,-,1494,-,-,1494,-,-,1494,-,-,-,-,-,-,-,-,1494,-,-,-,-,-,-,-,-,-,1494,-,-,-,-,-,1494,-,-,-,-,1494,-,-,-,-,1494,-,-,-,-,1494,-,-,-,-,1494
Total,DC,546656,12661,240957,133794,63787,95458,253424,293232,43756,232447,218672,25446,26337,35287,83974,117577,309818,212037,15686,78942,232801,7190,73825,204536,93513,52481,59289,24766,38247,186534,360122,84656,458221,3778,350766,189378,6512,41037,27857,21164,34803,35164,68834,49554,87019,181225,354936,122277,85415,68092,22545,127102,16062,26830,11806,108987,5273,6056,6486,5438,536887,7234,299439,86667,12351,816,147384,377241,19815,405,1758,147437,247098,136707,15551,-,147300,325329,63083,9423,1521,147300
Yes,DC,46502,1379,20962,9663,12390,2108,13216,33286,3698,13241,28847,440,276,-,4721,16266,25515,9987,-,11870,23139,1505,6623,13312,4525,9999,198,2850,8995,22795,23706,13916,32585,-,31329,14799,373,13786,6298,621,4205,1208,1142,3163,2697,13382,29815,11371,10630,15155,3508,11581,879,3805,-,10142,-,374,-,-,46127,-,26573,2833,7075,-,10021,35951,530,-,-,10021,20147,13382,2952,-,10021,24441,6372,5667,-,10021
