Diagnosis,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking
Total,NJ,6767278,541825,1504911,2009739,1227189,1483614,3253997,3513281,1333936,3801771,850430,609881,171260,523310,1971971,1635238,2636758,3677100,313154,763357,1928377,85289,376652,1740350,1330091,1500623,1025152,369490,424919,2703027,4064251,1400709,5287804,78765,3744561,2948575,74142,376943,389835,345591,607866,610623,721071,402636,605760,2706953,3901712,1498179,936830,336382,588808,1426577,110066,277812,305370,1483315,11253,20906,20946,25410,6606444,126042,3273837,1136561,151906,13347,2191627,3936900,441567,147965,48519,2192328,2907586,1497342,135945,23137,2203268,3574422,763373,190937,35279,2203268
Yes,NJ,890139,88907,161953,334665,194005,110608,465899,424240,244668,473268,90574,51111,30518,52941,287639,249692,299867,510298,996,133036,232439,13371,29277,210511,167646,208206,131309,61777,81413,395368,494771,237522,652618,-,575324,314815,-,30066,21989,25713,141243,58998,84721,52202,84425,390782,478695,269954,135339,59158,117609,156388,2874,65254,25989,214775,-,-,-,8577,881562,-,406213,151123,20179,2874,309750,506994,48473,22049,2874,309750,376498,156549,23739,12664,320690,451017,60311,45457,12664,320690
No,NJ,5661724,430527,1263625,1666046,997073,1304453,2695846,2965878,975848,3287354,748952,548686,100884,417489,1587623,1355742,2300870,3135051,308243,569506,1625973,22952,346529,1493576,1120424,1216336,886882,307713,290264,2194455,3467270,1045963,4585963,29799,3087763,2548785,25176,341666,367846,316813,466622,545597,636350,350435,510862,2125534,3386490,1215299,782465,266751,460726,1263782,104739,196874,256990,1112043,11253,20906,10473,16833,5568906,77076,2855167,973576,130838,-,1702143,3408040,390641,125028,35172,1702844,2517498,1334693,106689,-,1702844,3104603,697543,144592,12142,1702844
Not sure,NJ,145407,-,65049,6651,8652,65054,41231,104176,80844,23913,10904,-,29746,42769,67874,16627,18137,20753,3915,60815,59924,-,-,11339,6980,66886,6961,-,53242,103093,42314,116378,29029,-,71432,73975,-,5211,-,3065,-,5140,-,-,10473,121518,34792,12926,18137,10473,10473,5518,2453,15684,22391,88224,-,-,10473,-,134934,-,12457,11862,-,10473,110614,21866,2453,-,10473,110614,13590,5211,5518,10473,110614,18801,5518,-,10473,110614
Did not report,NJ,70008,22391,14283,2377,27459,3499,51021,18987,32577,17236,-,10084,10111,10111,28835,13177,17884,11000,-,-,10042,48966,846,24925,35041,9195,-,-,-,10111,59896,846,20195,48966,10042,11000,48966,-,-,-,-,888,-,-,-,69119,1735,-,888,-,-,888,-,-,-,68273,-,-,-,-,21042,48966,-,-,888,-,69119,-,-,888,-,69119,-,888,-,-,69119,-,-,888,-,69119
Total,NM,1604259,137180,388612,391211,273960,413296,779173,825086,749735,640327,33916,46976,133305,120221,549870,525363,408805,806689,80290,251651,444079,21549,151677,523027,310971,294561,167264,85780,70978,617685,986574,332730,1264098,7431,868662,729294,6303,252861,162118,155215,169854,103478,159211,46534,35069,519920,990317,273829,264338,133938,95542,552252,42908,163501,51210,251686,2121,6200,8090,3044,1574813,10626,807770,337753,37410,273,421053,957121,198434,26321,1161,421222,666761,459093,52991,2812,422602,874050,237652,65223,6112,421222
Yes,NM,188119,12991,50488,68912,30951,24777,101614,86504,121935,39623,6854,3204,16502,12990,101779,44721,28628,98227,9509,25236,54186,961,14104,33622,27538,61234,35154,13222,3245,102804,85315,59581,128538,-,129911,58208,-,25566,24224,16855,14823,13227,14700,3200,3988,71535,126444,26706,35489,24248,12431,78333,7965,20452,7578,33586,-,-,-,472,186125,1522,83444,50292,374,-,54009,103157,29756,564,-,54642,79715,36947,15637,-,55820,104507,26813,2157,-,54642
No,NM,1394142,124189,323687,319319,240565,386382,671815,722328,617563,592262,27062,43772,113483,107230,441227,471622,374062,701701,70781,224493,382233,14934,136027,482519,283433,226727,127606,72558,65273,501316,892827,269210,1123804,1128,736014,658129,-,223986,135224,138360,155031,89705,142448,42050,31081,436258,856508,242161,225873,104622,80818,469166,31041,138177,42467,209373,2121,6200,8090,2572,1370647,5147,716636,286263,34577,273,356393,843301,167995,25756,1161,355928,577491,421038,36671,2812,356131,758879,210839,62383,6112,355928
Not sure,NM,15018,-,10116,2980,1922,-,2647,12371,9007,3237,-,-,2774,-,5876,6469,2674,5436,-,1922,7660,-,214,1922,-,6601,3821,-,2460,12882,2136,3939,10725,354,2390,12274,354,2460,2669,-,-,-,1379,1284,-,7226,6471,4963,2293,5067,2293,4753,3902,4872,1165,3324,-,-,-,-,15018,-,6461,-,2460,-,6097,8921,-,-,-,6097,8707,214,-,-,6097,8921,-,-,-,6097
Did not report,NM,6980,-,4322,-,522,2136,3097,3883,1230,5204,-,-,546,-,988,2551,3441,1325,-,-,-,5654,1332,4964,-,-,683,-,-,683,6297,-,1031,5949,348,683,5949,849,-,-,-,546,683,-,-,4902,894,-,683,-,-,-,-,-,-,5403,-,-,-,-,3022,3958,1229,1197,-,-,4554,1743,683,-,-,4554,849,894,683,-,4554,1743,-,683,-,4554
Total,NY,14714964,1204099,3890573,3408638,3224006,2987647,7013923,7701041,2679111,8345885,2067444,1269968,352556,1297475,4338416,3801796,5277277,7576738,524307,1812406,4522188,279324,1250045,4734586,2740578,2693809,1678107,697581,920258,5319436,9395528,3061530,11555328,98105,8073260,6549269,92435,1730629,769235,1286087,1633077,1223727,1470401,667015,963744,4971049,8376662,3191068,2133884,1142129,1468755,3671315,428367,914970,385429,2947014,24971,61497,200696,11199,14220648,231844,7429454,2693972,321947,142373,4127219,9339166,1004245,64030,155126,4152396,6251226,3794635,416417,114968,4137717,7830544,2227862,419300,110040,4127219
Yes,NY,2219969,309929,717249,540473,443060,209259,975710,1244259,728307,1135073,191117,98089,67384,116129,836937,667697,599207,1145618,21969,279728,745231,27424,81221,392280,539539,511922,168010,157678,369318,1124865,1095104,562579,1643538,13853,1083095,1136875,-,313232,99614,139913,187606,252314,137622,87619,128900,873150,1071877,496637,451007,323672,196485,503362,16792,209514,12776,497582,14270,-,-,-,2193650,12050,1110209,385060,-,35894,688806,1251000,202842,8379,68943,688806,819671,638740,27600,35894,698064,1060749,376047,58473,35894,688806
No,NY,11856392,894171,2955263,2807707,2720681,2478571,5685304,6171087,1625413,6961462,1853629,1130716,285172,992425,3256066,3056562,4551340,6168277,499149,1531525,3496375,161065,1133948,4223049,2188371,2083705,1400826,513002,313491,3769677,8086715,2168209,9673739,14444,6750520,5083246,22626,1346679,603883,1051659,1426337,949233,1301241,579396,826613,3771350,7157350,2515096,1669967,714005,1195093,3080261,404829,614681,294756,2168342,3955,54750,5028,4452,11647126,149985,6070853,2273463,321947,36484,3153645,7816098,789632,55651,16188,3178823,5242226,3061383,388817,9079,3154886,6510597,1827173,360826,4150,3153645
Not sure,NY,496063,-,202191,20869,45481,227521,261538,234525,311042,136541,22698,25781,-,188921,157323,63188,86630,190111,3189,1154,280582,21027,34876,21825,6117,59624,109271,26900,237450,388074,107988,330742,165320,-,239210,256852,-,70717,14033,94516,19134,22180,31538,-,8232,235713,95730,179336,12910,104452,76742,87258,6747,90776,77896,190255,6747,6747,195669,6747,307141,-,196686,35449,-,69995,193932,220364,11771,-,69995,193932,188894,43241,-,69995,193932,207493,24642,-,69995,193932
Did not report,NY,142540,-,15870,39590,14784,72297,91371,51170,14350,112809,-,15382,-,-,88090,14350,40100,72731,-,-,-,69809,-,97431,6551,38558,-,-,-,36820,105720,-,72731,69809,434,72297,69809,-,51705,-,-,-,-,-,-,90836,51705,-,-,-,434,434,-,-,-,90836,-,-,-,-,72731,69809,51705,-,-,-,90836,51705,-,-,-,90836,434,51270,-,-,90836,51705,-,-,-,90836
Total,NC,8121448,652898,1898395,2176877,1492268,1901011,3858053,4263395,665603,5308174,1678082,170795,298794,558729,2502315,2619366,2441039,4527873,367043,1198183,1945682,82668,814940,2898218,1338723,1718751,767796,322409,260611,2863284,5258164,1223051,6848154,50243,4468638,3587479,65331,761209,617040,774748,838763,780328,559766,399572,455602,2934419,5008392,1527672,1103718,579864,244298,1779962,163383,398689,302827,1510124,80534,52566,55622,14754,7828337,89635,3541613,1960460,97661,33553,2488161,4722138,720956,148788,23672,2505894,3638990,1735562,245978,16157,2484761,4280072,972903,332538,36752,2499183
Yes,NC,1042356,106893,352404,328795,155103,99160,455994,586362,154175,607819,250558,7668,22135,85321,290574,448085,218375,602378,48565,62813,328600,-,95217,217174,111946,390230,103697,124092,-,398147,644208,231814,808572,1970,733054,309302,-,66384,92571,66670,76296,165241,82771,24859,37775,429787,530643,306010,132977,43975,6573,182985,-,7194,32646,253448,11445,12952,3953,-,993747,20258,421170,240854,22817,11502,346013,592688,97214,5100,1341,346013,494064,163209,39070,-,346013,565690,89136,41517,-,346013
No,NC,6884036,546005,1526860,1764529,1328623,1718020,3333272,3550764,465419,4554753,1425272,161932,276659,374227,2161388,2149028,2199393,3839523,318478,1101538,1563910,60587,704583,2671926,1219298,1225930,656543,198317,207439,2406742,4477294,954360,5903484,26193,3659951,3180834,43250,694825,521676,697769,761523,572390,476127,374713,417577,2367436,4412378,1213239,962393,482716,209272,1550777,147449,338322,224173,1234595,23081,39613,51668,14754,6707622,47297,3055940,1706568,74844,22051,2024634,4075080,604318,139941,22331,2042367,3082308,1557430,206908,16157,2021233,3652532,868076,291021,36752,2035656
Not sure,NC,136352,-,16879,73464,-,46009,58821,77531,46009,89399,-,944,-,99181,15934,19424,1812,83179,-,-,53172,-,-,-,7480,73887,1812,-,53172,29691,106661,8424,127928,-,70291,66061,-,-,-,7480,944,11944,868,-,-,115115,28747,8424,8348,53172,-,17747,15934,53172,46009,-,46009,-,-,-,90343,-,27879,9292,-,-,99181,17747,19424,-,-,99181,28823,8348,-,-,99181,25226,11944,-,-,99181
Did not report,NC,58705,-,2252,10088,8542,37822,9966,48739,-,56203,2252,250,-,-,34418,2829,21458,2793,-,33831,-,22080,15140,9117,-,28703,5744,-,-,28703,30002,28453,8171,22080,5342,31282,22080,-,2793,2829,-,30752,-,-,250,22080,36624,-,-,-,28453,28453,-,-,-,22080,-,-,-,-,36624,22080,36624,3747,-,-,18334,36624,-,3747,-,18334,33795,6576,-,-,18334,36624,3747,-,-,18334
Total,ND,560525,59346,172023,119739,88961,120456,286197,274328,20112,493388,14084,8922,24019,24020,133994,244456,158055,343368,16939,62078,136095,2046,68273,182241,103957,122656,49990,17049,16360,228685,331840,101254,458183,1088,372813,187058,654,47114,40708,35488,78638,58478,86965,17761,14741,180631,360977,100297,77435,25446,14090,132431,15685,17231,20729,96523,7709,6712,2549,2953,547715,1828,309552,96398,9538,439,144598,345546,63636,4019,-,147324,263235,128008,20676,474,148132,357285,47575,11067,-,144598
Yes,ND,112908,16679,23186,14523,22006,36514,54165,58743,12997,97707,652,-,1552,15804,31320,43777,22008,82613,854,7660,21564,217,9283,37071,25453,19507,10990,10603,-,43094,69814,12364,100544,-,82658,30250,-,1304,3814,6671,28665,10958,23331,3464,3040,31661,76375,23091,9845,439,497,27951,2528,-,296,17125,1253,1253,-,-,111655,-,75720,11563,977,-,24648,73682,12842,-,-,26383,54348,31304,2608,-,24648,79368,6415,2477,-,24648
No,ND,445563,42667,148836,105216,66301,82542,232032,213531,6115,394627,13432,8922,22467,8217,102675,200679,133993,260755,15085,54418,114131,1175,58991,144115,78504,103148,39000,6446,15360,184591,260972,88490,356639,435,290155,155408,-,45810,36894,28817,49973,47120,63634,14297,11701,147317,283202,75807,66189,24007,12593,103080,12157,16231,20433,78745,5456,4459,1549,1953,434660,1175,233832,84435,8562,439,118296,271463,50794,4019,-,119287,208487,96704,18068,474,121830,277516,41160,8590,-,118296
Not sure,ND,1400,-,-,-,-,1400,-,1400,1000,400,-,-,-,-,-,-,1400,-,1000,-,400,-,-,400,-,-,-,-,1000,1000,400,400,1000,-,-,1400,-,-,-,-,-,400,-,-,-,1000,1400,1400,1400,1000,1000,1400,1000,1000,-,-,1000,1000,1000,1000,1400,-,-,400,-,-,1000,400,-,-,-,1000,400,-,-,-,1000,400,-,-,-,1000
Did not report,ND,654,-,-,-,654,-,-,654,-,654,-,-,-,-,-,-,654,-,-,-,-,654,-,654,-,-,-,-,-,-,654,-,-,654,-,-,654,-,-,-,-,-,-,-,-,654,-,-,-,-,-,-,-,-,-,654,-,-,-,-,-,654,-,-,-,-,654,-,-,-,-,654,-,-,-,-,654,-,-,-,-,654
Total,OH,8833555,801264,2031942,2374968,1552958,2072422,4259257,4574298,432017,6960270,1049329,192896,199043,683386,3064970,2666558,2418642,5211555,412975,1126247,1952850,129928,698207,2950457,1979650,1487650,842288,444339,430965,3546157,5287398,1140037,7558708,134810,5089609,3634282,109664,713399,457646,670344,1016313,725141,979436,437976,415872,3417428,5820217,1587159,883295,517595,196183,1901823,225242,452482,215776,1899168,16218,26247,-,15034,8577134,198922,4216406,1620399,164444,-,2832306,5088545,808923,65632,12684,2857772,3571088,2001485,390566,16637,2853779,4905418,842178,229123,5985,2850852
Yes,OH,1384304,173355,405295,295725,173911,336019,606438,777866,100634,1127014,128005,13255,15395,79953,394930,550585,358836,781360,28970,198611,375363,-,78042,389479,312449,155719,192193,131939,124484,663473,720831,199671,1184634,-,849300,532077,2927,58809,44263,182915,201065,120148,121232,33039,62950,559884,795015,282325,106256,40245,18711,345856,57544,35968,56969,348475,-,-,-,-,1380311,3993,619311,221214,48679,-,495100,751288,105694,25303,-,502019,603619,226912,43417,12331,498027,757108,93415,38681,-,495100
No,OH,7130776,516418,1614500,1930243,1379047,1690568,3478545,3652231,331382,5627936,866695,175746,129018,494174,2516213,2086939,2033451,4417659,366393,927636,1398708,20380,604042,2512904,1496612,1268222,642653,299864,306481,2841455,4289321,918471,6181305,31000,4167843,2960006,2927,632695,413383,487430,815248,604992,858204,404937,352922,2560966,4913710,1235386,777039,391745,177472,1485848,167698,416514,152558,1365605,16218,26247,-,15034,7036787,36489,3475694,1393448,109516,-,2152119,4210118,696980,40329,12684,2170665,2951823,1726791,277192,4306,2170665,4024670,745263,184193,5985,2170665
Not sure,OH,145923,111492,12148,18785,-,3499,18785,127139,-,145923,-,-,-,-,111492,21895,12536,12536,3499,-,124150,5738,9748,5738,54192,63710,-,12536,-,12536,133387,21895,124028,-,72466,73457,-,21895,-,-,-,-,-,-,-,124028,111492,69447,-,85605,-,70119,-,-,6248,12536,-,-,-,-,145923,-,121401,5738,6248,-,12536,127139,6248,-,-,12536,15647,47782,69958,-,12536,123639,3499,6248,-,12536
Did not report,OH,172551,-,-,130215,-,42336,155490,17061,-,59397,54629,3895,54629,109259,42336,7138,13818,-,14112,-,54629,103810,6376,42336,116397,-,7442,-,-,28693,143859,-,68741,103810,-,68741,103810,-,-,-,-,-,-,-,-,172551,-,-,-,-,-,-,-,-,-,172551,-,-,-,-,14112,158439,-,-,-,-,172551,-,-,-,-,172551,-,-,-,-,172551,-,-,-,-,172551
Total,OK,2941764,217256,819217,775345,470575,659371,1425951,1515813,249556,2046724,181815,93607,370062,193553,1095242,941278,711690,1672584,143673,465661,637105,22741,278054,1042158,564550,495228,294834,131745,135196,1148355,1793409,448088,2475043,18633,1605985,1319933,15845,338195,246210,342572,331963,308535,247935,94121,63015,969219,1891981,568621,418382,213582,127323,755609,107288,214802,89223,475678,16899,6128,24237,12663,2846060,41506,1418130,567506,156561,4498,795068,1715199,338909,81122,6440,800094,1313917,684210,140209,6417,797010,1435986,498562,185630,26518,795068
Yes,OK,523526,34322,161386,149315,81487,97016,248037,275489,71087,379936,18800,10043,43660,31153,225424,163954,102993,303944,39914,63966,115702,-,32503,141299,97948,137146,45870,35606,33153,235105,288420,85901,437625,-,331068,192458,-,71497,16808,65327,44705,36135,43020,27155,24427,194452,297589,70273,48375,34727,28562,116479,13690,59945,45102,89892,15086,-,3173,2713,502554,-,240144,94382,33861,-,155139,311920,52584,1942,1942,155139,243713,95711,28963,-,155139,247100,70926,36766,13596,155139
No,OK,2385624,182934,643509,622907,381936,554338,1153168,1232456,178469,1648676,163015,77296,318168,162400,854774,769796,598655,1358714,103759,399813,513169,10169,238741,881484,464292,355931,246994,96139,102043,910654,1474970,362187,2016750,6687,1259895,1121830,3899,264816,229402,277245,279024,272400,202604,64996,38588,756550,1573723,497722,367499,178855,98760,634937,93598,154857,44121,373840,1813,6128,21064,9950,2322838,29560,1164106,468305,120731,4498,627983,1384493,284443,79180,4498,633009,1059033,579002,111247,6417,629925,1178056,417798,148864,12922,627983
Not sure,OK,12712,-,10204,1882,-,626,8235,4478,-,4478,-,-,8235,-,8235,1882,2595,1970,-,1882,8235,626,-,10743,-,-,1970,-,-,2595,10117,-,12712,-,12712,-,-,1882,-,-,8235,-,-,1970,-,626,12712,626,2508,-,-,1882,-,-,-,-,-,-,-,-,12712,-,8235,2508,1970,-,-,10830,1882,-,-,-,8860,3852,-,-,-,10830,1882,-,-,-
Did not report,OK,19902,-,4117,1240,7152,7392,16511,3391,-,13634,-,6268,-,-,6809,5646,7447,7956,-,-,-,11946,6809,8632,2310,2150,-,-,-,-,19902,-,7956,11946,2310,5646,11946,-,-,-,-,-,2310,-,-,17592,7956,-,-,-,-,2310,-,-,-,11946,-,-,-,-,7956,11946,5646,2310,-,-,11946,7956,-,-,-,11946,2310,5646,-,-,11946,-,7956,-,-,11946
Total,OR,3326774,312310,899842,803500,516394,794728,1625895,1700879,390567,2571632,69845,95789,198941,225007,867631,1161246,1072890,1764250,172276,508320,851812,30116,261836,1119524,684381,603061,310507,95125,252340,1193557,2133217,537572,2775541,13661,1940630,1370929,15215,383905,252923,341384,379528,271523,459537,180297,166052,891625,2302042,676399,601687,262076,207347,911687,63742,334588,100639,414362,2223,9685,-,3567,3282350,32406,1826071,679545,84592,7587,728980,2153298,378353,54338,9976,730809,1534705,890182,164035,6600,731252,1995339,492411,96085,11980,730959
Yes,OR,204370,16327,64201,71203,32694,19945,99473,104897,18844,146540,21604,9249,8132,3439,87741,72505,40684,113194,5454,21243,58146,6334,16529,58961,26574,32036,46963,11321,11985,61207,143163,42778,161592,-,130238,74132,-,27718,18831,17258,17897,7411,18965,3227,27960,65103,127175,34115,33064,15255,6496,41516,1094,15830,18166,24840,-,1284,-,146,201036,1904,125524,26014,2353,-,50480,137131,12814,2302,1642,50480,81963,58074,12211,1642,50480,128999,12751,11537,603,50480
No,OR,3085043,282100,831473,721170,478475,771825,1501031,1584012,349431,2411752,47722,85329,190809,221567,762739,1079767,1020970,1635159,166822,484305,780684,18072,244373,1048278,655191,553355,263545,79946,240355,1107187,1977855,491960,2588989,4093,1807057,1272338,5647,353328,233573,322324,356357,263089,440156,177071,136887,802259,2165913,638116,563016,241548,199227,866215,61625,316529,81953,366280,2223,8401,-,3421,3049663,24792,1690879,650101,82240,7587,654237,2004192,364934,51517,8334,656065,1445752,826001,151824,4958,656508,1856068,477352,84030,11377,656216
Not sure,OR,26771,12983,4168,2213,4449,2958,18038,8733,18435,6607,518,1211,-,-,17151,4332,5288,11016,-,2772,12983,-,518,7891,692,17670,-,-,-,19382,7389,2835,23936,-,3335,23436,-,2859,519,1802,5274,-,416,-,1206,14696,8954,4168,4584,5274,1624,2933,-,2228,519,13675,-,-,-,-,26771,-,9668,2407,-,-,14696,10952,604,518,-,14696,6991,5083,-,-,14696,10272,1284,519,-,14696
Did not report,OR,10591,900,-,8915,776,-,7353,3238,3857,6734,-,-,-,-,-,4642,5949,4881,-,-,-,5710,416,4395,1924,-,-,3857,-,5781,4810,-,1023,9568,-,1023,9568,-,-,-,-,1023,-,-,-,9568,-,-,1023,-,-,1023,1023,-,-,9568,-,-,-,-,4881,5710,-,1023,-,-,9568,1023,-,-,-,9568,-,1023,-,-,9568,-,1023,-,-,9568
Total,PA,9760505,836104,2381085,2290366,1798100,2454849,4707456,5053049,676248,7601989,978380,248881,255007,379037,3887658,2512811,2981000,5352463,481317,1064066,2682865,179794,785214,3245535,2016974,1809489,956207,527662,419423,3625394,6135111,1563085,8096823,100597,5351238,4311738,97530,782779,620375,969230,1012248,946304,1021289,471025,425792,3511462,6012806,2120267,1419326,538424,562867,2356076,218786,555750,201713,1796087,38841,60382,1974,53937,9478021,129324,4956733,1676285,200689,11832,2914965,5921215,823767,92434,4351,2918738,4300564,2116350,411184,15248,2917160,5212426,1327243,255311,48366,2917160
Yes,PA,1086023,123338,223488,339715,172391,227091,496477,589546,128599,801641,116884,32616,6283,23742,336811,383905,341565,661006,56729,85434,282855,-,72208,282145,330477,178213,102364,72785,47830,368876,717148,229147,856876,-,638509,444937,2578,98227,55004,88351,104031,97056,180716,32371,58089,372179,652190,165952,170302,55563,52933,186782,15958,35300,9895,324273,19094,8782,-,26243,1031904,-,536707,239542,10778,-,298996,683700,97348,3785,-,301191,430885,323446,30502,-,301191,591349,131268,30861,31355,301191
No,PA,8540821,674578,2152931,1927517,1615717,2170078,4112587,4428234,547649,6680926,849831,216265,246150,355295,3504134,2075903,2605489,4671041,419647,963475,2387753,98905,690596,2905681,1675917,1588778,853379,454876,371593,3251745,5289076,1323972,7196765,20084,4697871,3828510,14439,669858,564527,867343,908217,842757,839980,438655,367703,3041780,5328075,1938227,1236431,480287,509934,2154553,202829,520449,191818,1381310,19747,51600,1974,27694,8395695,46085,4398338,1424848,187337,11832,2518465,5201358,726419,88649,4351,2520044,3843592,1782833,380682,15248,2518465,4592985,1189347,223013,17011,2518465
Not sure,PA,40754,-,4666,11944,4089,20056,14703,26052,-,26515,11665,-,2574,-,16217,3375,21162,8398,4941,15158,12257,-,20228,11665,4089,4309,464,-,-,4773,35981,7240,33514,-,11681,29074,-,14694,844,13535,-,-,593,-,-,11088,26050,16088,6102,2574,-,14741,-,-,-,4089,-,-,-,-,40754,-,21687,5405,2574,-,11088,29666,-,-,-,11088,19596,10070,-,-,11088,21601,6629,1436,-,11088
Did not report,PA,92907,38189,-,11190,5903,37625,83689,9217,-,92907,-,-,-,-,30496,49627,12784,12017,-,-,-,80889,2182,46045,6491,38189,-,-,-,-,92907,2726,9668,80513,3177,9217,80513,-,-,-,-,6491,-,-,-,86415,6491,-,6491,-,-,-,-,-,-,86415,-,-,-,-,9668,83239,-,6491,-,-,86415,6491,-,-,-,86415,6491,-,-,-,86415,6491,-,-,-,86415
Total,RI,815717,42300,197225,225321,165143,185727,392680,423037,72263,650409,51437,20567,21041,53520,207789,287737,266671,440256,27631,127608,211472,8750,66727,302319,137791,155491,75788,55726,21875,274009,541708,158306,651303,6109,488295,323397,4026,52510,75476,59973,59679,67247,95819,49036,49789,306188,509023,160882,131377,31864,31602,215032,31190,39374,26228,171768,2663,2350,580,2221,800449,8290,352227,176826,12841,-,273824,460761,75240,5893,-,273824,345035,161397,35462,-,273824,395010,115445,30153,628,274481
Yes,RI,114719,11975,22707,40452,28227,11358,50578,64141,20471,85366,4575,-,4306,15053,26552,40335,32779,74419,-,15635,22878,1788,7331,22052,26233,23529,23092,9252,3230,40367,74352,25469,89250,-,74554,40165,-,7870,8007,11028,3539,11697,13728,9963,3888,44999,63879,18267,22679,5898,11286,32298,3252,4306,1968,27565,-,1947,-,1818,107767,3188,47761,25594,-,-,41365,70674,2681,-,-,41365,43188,29899,266,-,41365,61819,8595,2940,-,41365
No,RI,692948,30325,174518,183728,132378,171999,335338,357610,51793,561396,42458,20567,16734,38467,180608,242185,231688,361509,27631,111973,187098,4737,58528,276974,107668,131962,52696,46474,18646,230157,462791,129981,559523,3445,412488,279098,1362,44641,67468,48945,52635,55550,81058,38854,45901,257897,443891,138076,108050,25966,20316,182735,27937,35068,24260,140910,2663,403,580,403,686858,2877,299729,150583,12841,-,229795,387777,69484,5893,-,229795,297110,130848,35195,-,229795,331938,103345,27213,-,230453
Not sure,RI,5386,-,-,628,4538,219,4538,847,-,1496,3890,-,-,-,628,3505,1253,3890,-,-,1496,-,868,628,3890,-,-,-,-,3484,1901,2856,2530,-,1253,4133,-,-,-,-,3505,-,1033,219,-,628,1253,4538,649,-,-,-,-,-,-,628,-,-,-,-,5386,-,4737,649,-,-,-,2310,3075,-,-,-,4737,649,-,-,-,1253,3505,-,628,-
Did not report,RI,2664,-,-,514,-,2150,2226,438,-,2150,514,-,-,-,-,1712,952,438,-,-,-,2226,-,2664,-,-,-,-,-,-,2664,-,-,2664,-,-,2664,-,-,-,-,-,-,-,-,2664,-,-,-,-,-,-,-,-,-,2664,-,-,-,-,438,2226,-,-,-,-,2664,-,-,-,-,2664,-,-,-,-,2664,-,-,-,-,2664
Total,SC,4033193,330926,724701,1312434,663591,1001541,1902551,2130642,227472,2686958,978523,49997,90242,301554,1348982,1269580,1113076,2287623,222110,626984,875677,20799,439076,1302731,775209,692565,474923,160113,188577,1705798,2327395,734463,3270229,28501,2111584,1900288,21321,391596,304945,424392,499474,303556,424604,177648,196785,1310194,2708331,779055,539552,279883,101453,1149807,57827,234750,46106,722161,19496,16896,13522,32822,3939946,15133,2007906,881666,66058,4948,1072614,2444313,415090,96662,12122,1065007,1815002,1011187,120524,16853,1069628,2175823,696247,96115,-,1065007
Yes,SC,553613,14717,151111,165785,81959,140041,115063,438550,27442,361385,152363,12423,-,7704,203339,139308,203261,326642,23915,122893,76415,3748,41778,157531,121695,66950,44392,86060,35205,255281,298331,128562,425050,-,381744,168121,3748,40019,53782,22689,80789,20887,100357,55575,17872,161642,391529,100934,54642,32844,24486,171928,17159,18552,9722,57705,-,4621,2740,-,542503,8369,249699,143999,16352,-,143562,296018,92429,21603,-,143562,204027,171494,34529,-,143562,256487,141249,12315,-,143562
No,SC,3396515,316209,573590,1088162,571910,846643,1707949,1688566,178977,2263560,826161,37575,90242,293850,1087157,1130272,885236,1902494,198195,494370,787931,13525,397298,1141673,653514,625614,372044,74052,132319,1370977,2025537,596179,2775361,24974,1671353,1711115,14046,351577,251163,401703,418684,282670,324247,121267,167582,1077622,2315997,678121,484910,247040,66439,977879,40668,216198,25054,603248,19496,12274,10782,32822,3317904,3237,1747680,737666,49706,4948,856513,2147488,322661,65337,12122,848906,1610169,829971,85995,16853,853527,1918531,545277,83801,-,848906
